,asset_id,axis-0,axis-1,axis-2,axis-3,axis-4,axis-5,axis-6,axis-7,axis-8,axis-9,axis-10,axis-11
0,510,5.547552614795919,5.649752869897959,3.7709263392857144,3.638392857142857,3.5041454081632653,2.9977279974489797,5.2416693239795915,5.09016262755102,6.523875956632653,6.351602359693878,6.810208067602041,6.573003029336735
1,555,3.3290417729591835,3.1488360969387754,3.2264429209183674,3.059550382653061,3.285176179846939,2.8187779017857144,3.0172592474489797,3.098931760204082,3.117167570153061,2.98160475127551,2.9095982142857144,2.936344068877551
2,1003,4.98503268494898,5.126016422193878,4.308832908163265,4.244778380102041,3.4731544961734695,2.7091238839285716,3.4959741709183674,2.4229910714285716,4.460698341836735,3.9766820790816326,5.0346580038265305,4.896225286989796
3,1251,8.254484215561224,8.376933195153061,7.114935427295919,7.0434669961734695,5.9008689413265305,5.857023278061225,3.344108737244898,2.919124681122449,7.078762755102041,6.739277742346939,8.672393176020408,8.54819036989796
4,1346,3.0549465880102042,2.9411471619897958,2.8962850765306123,2.666095344387755,2.8683832908163267,2.631536989795918,3.1839923469387754,2.943359375,3.353136957908163,3.1205157844387754,3.2773038903061225,3.0776466836734695
5,1355,7.716418207908164,7.623385682397959,7.824936224489796,7.782565369897959,6.919682716836735,6.879105548469388,4.0102240114795915,3.99105149872449,3.2442602040816326,3.242466517857143,6.403878348214286,6.432577327806122
6,1383,2.6222895408163267,2.7291533801020407,2.6830357142857144,2.6778539540816326,2.6338488520408165,2.851283482142857,2.6454679528061225,2.814353475765306,2.3889309630102042,2.777523118622449,2.5065967793367347,2.7088448660714284
7,2515,2.955974968112245,3.04996412627551,2.8210499043367347,3.3484335140306123,2.767059948979592,3.421077806122449,2.6167689732142856,3.2860132334183674,2.626275510204082,3.2489636479591835,2.7755899234693877,3.1363201530612246
8,2653,3.284538424744898,3.234474649234694,3.2410714285714284,2.9169323979591835,3.2655054209183674,2.857142857142857,3.172333386479592,2.7024673150510203,3.2314851721938775,2.7496611926020407,3.200215242346939,2.8951690051020407
9,3174,5.041394292091836,5.124222735969388,4.098373724489796,3.982063137755102,3.011619100765306,2.401446906887755,3.599011479591837,2.9729751275510203,4.736268335459184,4.305544483418367,5.272540656887755,4.962830835459184
10,3717,3.480827487244898,3.5287388392857144,3.6371173469387754,3.602519132653061,3.769013073979592,3.463767538265306,3.4327566964285716,3.4505341198979593,3.151965082908163,3.122349330357143,3.1196189413265305,2.9505341198979593
11,3768,4.350366709183674,4.670679209183674,4.020069355867347,4.19417649872449,3.461216517857143,3.4300063775510203,3.4012476084183674,3.0061184630102042,3.998485331632653,3.520328443877551,4.726363201530612,4.108099489795919
12,3892,6.128926179846939,6.043985172193878,5.501355229591836,5.257892219387755,4.370715082908164,4.1254583864795915,3.5421117665816326,3.2009127869897958,4.815290178571429,4.480747767857143,5.726502710459184,5.6689453125
13,4171,2.7271205357142856,2.6842315051020407,2.6538982780612246,2.5358737244897958,2.803631218112245,2.56168287627551,2.8761758609693877,2.582489636479592,2.797871492346939,2.4532445790816326,2.793148118622449,2.5154057716836733
